iter	RMSE
0	19465.97315
1	17179.3292
2	15312.15545
3	13783.38634
4	12684.1941
5	11584.99603
6	10775.41745
7	10054.56473
8	9504.762885
9	9001.606182
10	8611.405109
11	8294.452311
12	8033.31222
13	7830.537635
14	7668.970166
15	7540.450789
16	7434.848266
17	7326.110748
18	7241.629898
19	7168.734447
20	7070.795081
21	7012.333424
22	6957.255763
23	6898.284471
24	6866.300766
25	6837.850804
26	6799.154468
27	6739.856768
28	6710.2849
29	6670.422477
30	6622.55964
31	6581.127566
32	6558.48362
33	6542.501995
34	6511.158387
35	6482.563023
36	6444.844064
37	6411.357237
38	6378.492805
39	6343.260394
40	6308.603237
41	6288.017456
42	6272.445169
43	6234.452307
44	6216.972152
45	6189.646083
46	6173.327705
